clusters_id,clusters_latitude,clusters_longitude,vin
0,33.263506194444446,114.44089802222226,LBEDMBKD2HZ218270
0,27.352599062999996,103.69982882,LBEDMBKD7HZ221536
1,27.343951931428567,103.70717298571428,LBEDMBKD7HZ221536
2,27.34577968,103.70483057999999,LBEDMBKD7HZ221536
3,27.35059943375,103.696997625,LBEDMBKD7HZ221536
0,25.137301744444436,104.80953256666668,LBEDMBKD3GZ205431
1,25.09725256946667,104.87260725066663,LBEDMBKD3GZ205431
2,25.101603283,104.86984089,LBEDMBKD3GZ205431
3,25.204043385294113,104.87820147647061,LBEDMBKD3GZ205431
4,25.12584777,104.8569078,LBEDMBKD3GZ205431
5,25.11685975794117,104.80488589705885,LBEDMBKD3GZ205431
6,25.202122034000002,104.8782313,LBEDMBKD3GZ205431
7,25.098841318749994,104.87470439375001,LBEDMBKD3GZ205431
8,25.094081125454547,104.87617690909092,LBEDMBKD3GZ205431
9,25.138899453333334,104.771322,LBEDMBKD3GZ205431
10,25.091442320000002,104.8810746,LBEDMBKD3GZ205431
11,25.204731654000003,104.88066608,LBEDMBKD3GZ205431
12,25.159018155,104.90480311666668,LBEDMBKD3GZ205431
13,25.142356162,104.78713043999998,LBEDMBKD3GZ205431
0,39.975709256363636,116.49877461818183,LBEDMBKD9HZ212269
1,40.112109153,116.45865139000003,LBEDMBKD9HZ212269
2,39.91050918161291,116.51199687096774,LBEDMBKD9HZ212269
0,34.715676751428575,117.85857951428571,LBEDMBKDXHZ214435
1,34.80208805499999,117.82696393333333,LBEDMBKDXHZ214435
2,34.79923888333334,117.84513638888887,LBEDMBKDXHZ214435
